x	Disp
1.58	0.04226601
1.585	0.04235668
1.59	0.04244423
1.595	0.04252864
1.6	0.04260988
1.605	0.04268792
1.61	0.04276276
1.615	0.04283435
1.62	0.04290268
1.625	0.04296774
1.63	0.04302949
1.635	0.04308791
1.64	0.04314299
1.645	0.04319471
1.65	0.04324303
1.655	0.04328796
1.66	0.04332945
1.665	0.04336751
1.67	0.04340209
1.675	0.0434332
1.68	0.04346081
1.685	0.04348489
1.69	0.04350544
1.695	0.04352244
1.7	0.04353587
1.705	0.0435457
1.71	0.04355194
1.715	0.04355456
1.72	0.04355354
1.725	0.04354887
1.73	0.04354053
1.735	0.04352851
1.74	0.0435128
1.745	0.04349338
1.75	0.04347024
1.755	0.04344336
1.76	0.04341273
1.765	0.04337834
1.77	0.04334017
1.775	0.04329822
1.78	0.04325247
1.785	0.04320291
1.79	0.04314953
1.795	0.04309232
1.8	0.04303126
1.805	0.04296635
1.81	0.04289759
1.815	0.04282495
1.82	0.04274842
1.825	0.04266801
1.83	0.04258371
1.835	0.04249549
1.84	0.04240337
1.845	0.04230732
1.85	0.04220735
1.855	0.04210344
1.86	0.0419956
1.865	0.0418838
1.87	0.04176806
1.875	0.04164836
1.88	0.0415247
1.885	0.04139707
1.89	0.04126548
1.895	0.04112991
1.9	0.04099037
1.905	0.04084684
1.91	0.04069934
1.915	0.04054785
1.92	0.04039238
1.925	0.04023292
1.93	0.04006947
1.935	0.03990203
1.94	0.03973061
1.945	0.03955519
1.95	0.03937579
1.955	0.03919241
1.96	0.03900503
1.965	0.03881367
1.97	0.03861833
1.975	0.03841901
1.98	0.03821572
1.985	0.03800845
1.99	0.0377972
1.995	0.037582
2	0.03736283
2.005	0.0371397
2.01	0.03691261
2.015	0.03668158
2.02	0.03644661
2.025	0.0362077
2.03	0.03596487
2.035	0.0357181
2.04	0.03546743
2.045	0.03521284
2.05	0.03495435
2.055	0.03469197
2.06	0.03442571
2.065	0.03415556
2.07	0.03388156
2.075	0.03360369
2.08	0.03332198
2.085	0.03303643
2.09	0.03274706
2.095	0.03245387
2.1	0.03215687
2.105	0.03185609
2.11	0.03155152
2.115	0.03124319
2.12	0.03093109
2.125	0.03061526
2.13	0.0302957
2.135	0.02997242
2.14	0.02964544
2.145	0.02931477
2.15	0.02898043
2.155	0.02864243
2.16	0.02830079
2.165	0.02795553
2.17	0.02760665
2.175	0.02725418
2.18	0.02689814
2.185	0.02653853
2.19	0.02617538
2.195	0.02580871
2.2	0.02543852
2.205	0.02506485
2.21	0.02468772
2.215	0.02430713
2.22	0.02392311
2.225	0.02353567
2.23	0.02314485
2.235	0.02275066
2.24	0.02235311
2.245	0.02195224
2.25	0.02154806
2.255	0.02114059
2.26	0.02072986
2.265	0.02031589
2.27	0.0198987
2.275	0.01947831
2.28	0.01905475
2.285	0.01862804
2.29	0.01819821
2.295	0.01776527
2.3	0.01732926
2.305	0.01689019
2.31	0.0164481
2.315	0.01600301
2.32	0.01555495
2.325	0.01510393
2.33	0.01464999
2.335	0.01419316
2.34	0.01373345
2.345	0.0132709
2.35	0.01280554
2.355	0.0123374
2.36	0.01186649
2.365	0.01139285
2.37	0.01091652
2.375	0.01043751
2.38	0.009955857
2.385	0.009471592
2.39	0.008984745
2.395	0.008495344
2.4	0.008003422
2.405	0.007509008
2.41	0.007012134
2.415	0.006512832
2.42	0.006011133
2.425	0.005507068
2.43	0.005000672
2.435	0.004491976
2.44	0.003981013
2.445	0.003467817
2.45	0.002952421
2.455	0.002434859
2.46	0.001915165
2.465	0.001393375
2.47	0.000869522
2.475	0.000343642
2.48	-0.00018423
2.485	-0.000714058
2.49	-0.001245806
2.495	-0.001779437
2.5	-0.002314914
2.505	-0.002852202
2.51	-0.003391261
2.515	-0.003932056
2.52	-0.004474547
2.525	-0.005018696
2.53	-0.005564464
2.535	-0.006111814
2.54	-0.006660704
2.545	-0.007211096
2.55	-0.00776295
2.555	-0.008316226
2.56	-0.008870881
2.565	-0.009426877
2.57	-0.009984171
2.575	-0.01054272
2.58	-0.01110249
2.585	-0.01166342
2.59	-0.01222549
2.595	-0.01278864
2.6	-0.01335284
2.605	-0.01391804
2.61	-0.01448419
2.615	-0.01505125
2.62	-0.01561918
2.625	-0.01618793
2.63	-0.01675745
2.635	-0.01732771
2.64	-0.01789864
2.645	-0.01847022
2.65	-0.01904238
2.655	-0.01961509
2.66	-0.02018829
2.665	-0.02076193
2.67	-0.02133598
2.675	-0.02191037
2.68	-0.02248506
2.685	-0.02306001
2.69	-0.02363516
2.695	-0.02421045
2.7	-0.02478585
2.705	-0.0253613
2.71	-0.02593674
2.715	-0.02651213
2.72	-0.02708742
2.725	-0.02766254
2.73	-0.02823746
2.735	-0.02881211
2.74	-0.02938645
2.745	-0.02996041
2.75	-0.03053395
2.755	-0.03110702
2.76	-0.03167954
2.765	-0.03225148
2.77	-0.03282278
2.775	-0.03339337
2.78	-0.03396322
2.785	-0.03453224
2.79	-0.0351004
2.795	-0.03566764
2.8	-0.03623389
2.805	-0.03679911
2.81	-0.03736322
2.815	-0.03792619
2.82	-0.03848794
2.825	-0.03904842
2.83	-0.03960756
2.835	-0.04016532
2.84	-0.04072164
2.845	-0.04127644
2.85	-0.04182968
2.855	-0.0423813
2.86	-0.04293123
2.865	-0.04347941
2.87	-0.04402579
2.875	-0.04457031
2.88	-0.0451129
2.885	-0.0456535
2.89	-0.04619206
2.895	-0.04672851
2.9	-0.0472628
2.905	-0.04779486
2.91	-0.04832463
2.915	-0.04885205
2.92	-0.04937706
2.925	-0.0498996
2.93	-0.05041961
2.935	-0.05093703
2.94	-0.05145179
2.945	-0.05196385
2.95	-0.05247313
2.955	-0.05297958
2.96	-0.05348313
2.965	-0.05398373
2.97	-0.05448132
2.975	-0.05497583
2.98	-0.05546721
2.985	-0.0559554
2.99	-0.05644034
2.995	-0.05692197
3	-0.05740022
3.005	-0.05787505
3.01	-0.05834639
3.015	-0.05881419
3.02	-0.05927838
3.025	-0.05973891
3.03	-0.06019573
3.035	-0.06064877
3.04	-0.06109798
3.045	-0.0615433
3.05	-0.06198468
3.055	-0.06242206
3.06	-0.06285538
3.065	-0.0632846
3.07	-0.06370966
3.075	-0.06413049
3.08	-0.06454706
3.085	-0.0649593
3.09	-0.06536716
3.095	-0.0657706
3.1	-0.06616955
3.105	-0.06656398
3.11	-0.06695382
3.115	-0.06733902
3.12	-0.06771955
3.125	-0.06809533
3.13	-0.06846634
3.135	-0.06883252
3.14	-0.06919382
3.145	-0.06955019
3.15	-0.06990159
3.155	-0.07024797
3.16	-0.07058929
3.165	-0.0709255
3.17	-0.07125655
3.175	-0.0715824
3.18	-0.07190301
3.185	-0.07221833
3.19	-0.07252833
3.195	-0.07283295
3.2	-0.07313216
3.205	-0.07342592
3.21	-0.07371419
3.215	-0.07399692
3.22	-0.07427408
3.225	-0.07454562
3.23	-0.07481152
3.235	-0.07507173
3.24	-0.07532622
3.245	-0.07557495
3.25	-0.07581787
3.255	-0.07605497
3.26	-0.0762862
3.265	-0.07651153
3.27	-0.07673093
3.275	-0.07694436
3.28	-0.07715178
3.285	-0.07735318
3.29	-0.07754851
3.295	-0.07773774
3.3	-0.07792085
3.305	-0.07809781
3.31	-0.07826858
3.315	-0.07843314
3.32	-0.07859146
3.325	-0.07874351
3.33	-0.07888927
3.335	-0.0790287
3.34	-0.07916179
3.345	-0.0792885
3.35	-0.07940881
3.355	-0.07952271
3.36	-0.07963015
3.365	-0.07973113
3.37	-0.07982562
3.375	-0.0799136
3.38	-0.07999504
3.385	-0.08006992
3.39	-0.08013823
3.395	-0.08019994
3.4	-0.08025504
3.405	-0.08030351
3.41	-0.08034533
3.415	-0.08038047
3.42	-0.08040893
3.425	-0.08043069
3.43	-0.08044574
3.435	-0.08045405
3.44	-0.08045561
3.445	-0.08045042
3.45	-0.08043844
3.455	-0.08041969
3.46	-0.08039413
3.465	-0.08036176
3.47	-0.08032257
3.475	-0.08027655
3.48	-0.08022369
3.485	-0.08016397
3.49	-0.0800974
3.495	-0.08002395
3.5	-0.07994364
3.505	-0.07985644
3.51	-0.07976235
3.515	-0.07966137
3.52	-0.0795535
3.525	-0.07943872
3.53	-0.07931703
3.535	-0.07918844
3.54	-0.07905293
3.545	-0.07891051
3.55	-0.07876118
3.555	-0.07860493
3.56	-0.07844176
3.565	-0.07827169
3.57	-0.0780947
3.575	-0.0779108
3.58	-0.07771999
3.585	-0.07752227
3.59	-0.07731766
3.595	-0.07710615
3.6	-0.07688775
3.605	-0.07666246
3.61	-0.0764303
3.615	-0.07619126
3.62	-0.07594536
3.625	-0.0756926
3.63	-0.075433
3.635	-0.07516656
3.64	-0.07489329
3.645	-0.07461321
3.65	-0.07432632
3.655	-0.07403264
3.66	-0.07373219
3.665	-0.07342496
3.67	-0.07311099
3.675	-0.07279027
3.68	-0.07246284
3.685	-0.07212869
3.69	-0.07178786
3.695	-0.07144036
3.7	-0.0710862
3.705	-0.0707254
3.71	-0.07035798
3.715	-0.06998397
3.72	-0.06960338
3.725	-0.06921623
3.73	-0.06882254
3.735	-0.06842234
3.74	-0.06801564
3.745	-0.06760248
3.75	-0.06718287
3.755	-0.06675684
3.76	-0.06632441
3.765	-0.06588562
3.77	-0.06544047
3.775	-0.06498901
3.78	-0.06453125
3.785	-0.06406724
3.79	-0.06359698
3.795	-0.06312052
3.8	-0.06263788
3.805	-0.06214909
3.81	-0.06165418
3.815	-0.06115319
3.82	-0.06064614
3.825	-0.06013307
3.83	-0.05961401
3.835	-0.05908899
3.84	-0.05855805
3.845	-0.05802121
3.85	-0.05747853
3.855	-0.05693002
3.86	-0.05637573
3.865	-0.05581569
3.87	-0.05524994
3.875	-0.05467851
3.88	-0.05410145
3.885	-0.0535188
3.89	-0.05293058
3.895	-0.05233685
3.9	-0.05173764
3.905	-0.05113299
3.91	-0.05052294
3.915	-0.04990753
3.92	-0.04928681
3.925	-0.04866082
3.93	-0.0480296
3.935	-0.04739319
3.94	-0.04675164
3.945	-0.04610499
3.95	-0.04545329
3.955	-0.04479658
3.96	-0.04413491
3.965	-0.04346833
3.97	-0.04279687
3.975	-0.04212059
3.98	-0.04143954
3.985	-0.04075376
3.99	-0.0400633
3.995	-0.03936822
4	-0.03866855
4.005	-0.03796436
4.01	-0.03725568
4.015	-0.03654257
4.02	-0.03582509
4.025	-0.03510328
4.03	-0.0343772
4.035	-0.03364689
4.04	-0.03291241
4.045	-0.03217382
4.05	-0.03143116
4.055	-0.0306845
4.06	-0.02993388
4.065	-0.02917936
4.07	-0.02842099
4.075	-0.02765884
4.08	-0.02689295
4.085	-0.02612339
4.09	-0.0253502
4.095	-0.02457346
4.1	-0.0237932
4.105	-0.0230095
4.11	-0.02222241
4.115	-0.02143198
4.12	-0.02063829
4.125	-0.01984137
4.13	-0.01904131
4.135	-0.01823815
4.14	-0.01743196
4.145	-0.01662279
4.15	-0.01581071
4.155	-0.01499577
4.16	-0.01417805
4.165	-0.0133576
4.17	-0.01253448
4.175	-0.01170876
4.18	-0.0108805
4.185	-0.01004975
4.19	-0.009216597
4.195	-0.008381089
4.2	-0.007543293
4.205	-0.006703274
4.21	-0.005861096
4.215	-0.005016824
4.22	-0.004170523
4.225	-0.003322259
4.23	-0.002472096
4.235	-0.001620101
4.24	-0.00076634
4.245	8.912E-05
4.25	0.000946214
4.255	0.001804873
4.26	0.002665031
4.265	0.003526621
4.27	0.004389574
4.275	0.005253824
4.28	0.006119301
4.285	0.006985937
4.29	0.007853663
4.295	0.008722412
4.3	0.009592112
4.305	0.0104627
4.31	0.01133409
4.315	0.01220624
4.32	0.01307905
4.325	0.01395247
4.33	0.01482642
4.335	0.01570083
4.34	0.01657564
4.345	0.01745077
4.35	0.01832614
4.355	0.01920169
4.36	0.02007735
4.365	0.02095304
4.37	0.0218287
4.375	0.02270424
4.38	0.0235796
4.385	0.02445471
4.39	0.02532949
4.395	0.02620387
4.4	0.02707777
4.405	0.02795113
4.41	0.02882386
4.415	0.0296959
4.42	0.03056717
4.425	0.0314376
4.43	0.03230712
4.435	0.03317564
4.44	0.0340431
4.445	0.03490941
4.45	0.03577452
4.455	0.03663834
4.46	0.03750079
4.465	0.0383618
4.47	0.0392213
4.475	0.04007921
4.48	0.04093546
4.485	0.04178997
4.49	0.04264266
4.495	0.04349346
4.5	0.0443423
4.505	0.0451891
4.51	0.04603377
4.515	0.04687625
4.52	0.04771647
4.525	0.04855434
4.53	0.04938978
4.535	0.05022273
4.54	0.0510531
4.545	0.05188083
4.55	0.05270583
4.555	0.05352802
4.56	0.05434734
4.565	0.0551637
4.57	0.05597704
4.575	0.05678726
4.58	0.0575943
4.585	0.05839808
4.59	0.05919853
4.595	0.05999556
4.6	0.06078911
4.605	0.06157909
4.61	0.06236543
4.615	0.06314806
4.62	0.0639269
4.625	0.06470187
4.63	0.06547289
4.635	0.0662399
4.64	0.06700281
4.645	0.06776156
4.65	0.06851606
4.655	0.06926625
4.66	0.07001204
4.665	0.07075336
4.67	0.07149014
4.675	0.0722223
4.68	0.07294977
4.685	0.07367248
4.69	0.07439035
4.695	0.0751033
4.7	0.07581127
4.705	0.07651418
4.71	0.07721196
4.715	0.07790454
4.72	0.07859185
4.725	0.0792738
4.73	0.07995034
4.735	0.08062138
4.74	0.08128687
4.745	0.08194672
4.75	0.08260087
4.755	0.08324925
4.76	0.08389178
4.765	0.08452841
4.77	0.08515906
4.775	0.08578365
4.78	0.08640214
4.785	0.08701444
4.79	0.08762048
4.795	0.08822022
4.8	0.08881356
4.805	0.08940046
4.81	0.08998085
4.815	0.09055466
4.82	0.09112182
4.825	0.09168227
4.83	0.09223596
4.835	0.09278281
4.84	0.09332277
4.845	0.09385577
4.85	0.09438176
4.855	0.09490066
4.86	0.09541243
4.865	0.095917
4.87	0.09641432
4.875	0.09690432
4.88	0.09738695
4.885	0.09786216
4.89	0.09832988
4.895	0.09879006
4.9	0.09924265
4.905	0.09968759
4.91	0.1001248
4.915	0.1005543
4.92	0.100976
4.925	0.1013898
4.93	0.1017957
4.935	0.1021937
4.94	0.1025836
4.945	0.1029655
4.95	0.1033393
4.955	0.1037049
4.96	0.1040624
4.965	0.1044116
4.97	0.1047525
4.975	0.1050851
4.98	0.1054093
