x	Dis
0	0
0.005	8.04091E-07
0.01	4.87871E-06
0.015	1.56848E-05
0.02	3.69884E-05
0.025	7.28771E-05
0.03	0.000127686
0.035	0.000205852
0.04	0.000311733
0.045	0.000449441
0.05	0.000622722
0.055	0.000834926
0.06	0.00108906
0.065	0.001387927
0.07	0.00173431
0.075	0.002131166
0.08	0.002581785
0.085	0.003089883
0.09	0.003659605
0.095	0.004295451
0.1	0.005002129
0.105	0.005784379
0.11	0.0066468
0.115	0.007593705
0.12	0.008629035
0.125	0.009756338
0.13	0.01097879
0.135	0.012299266
0.14	0.013720417
0.145	0.015244734
0.15	0.016874588
0.155	0.018612237
0.16	0.020459802
0.165	0.022419218
0.17	0.024492185
0.175	0.026680127
0.18	0.028984171
0.185	0.031405148
0.19	0.033943625
0.195	0.036599939
0.2	0.039374244
0.205	0.042266532
0.21	0.045276647
0.215	0.048404263
0.22	0.051648842
0.225	0.055009569
0.23	0.058485287
0.235	0.062074428
0.24	0.065774967
0.245	0.0695844
0.25	0.073499742
0.255	0.077517556
0.26	0.081634004
0.265	0.085844901
0.27	0.090145786
0.275	0.094531973
0.28	0.098998604
0.285	0.103540684
0.29	0.108153104
0.295	0.112830646
0.3	0.117567983
0.305	0.122359668
0.31	0.127200117
0.315	0.132083589
0.32	0.137004165
0.325	0.141955724
0.33	0.146931928
0.335	0.15192621
0.34	0.156931765
0.345	0.161941559
0.35	0.166948341
0.355	0.171944668
0.36	0.17692294
0.365	0.181875433
0.37	0.186794349
0.375	0.191671849
0.38	0.196500097
0.385	0.201271291
0.39	0.205977687
0.395	0.210611619
0.4	0.215165518
0.405	0.219631915
0.41	0.224003451
0.415	0.228272883
0.42	0.232433085
0.425	0.236477054
0.43	0.240397907
0.435	0.244188884
0.44	0.24784334
0.445	0.251354744
0.45	0.254716674
0.455	0.257922812
0.46	0.260966948
0.465	0.263842988
0.47	0.26654497
0.475	0.269067083
0.48	0.271403696
0.485	0.273549384
0.49	0.275498956
0.495	0.277247465
0.5	0.278790225
0.505	0.280122799
0.51	0.281240989
0.515	0.282140812
0.52	0.282818466
0.525	0.283270306
0.53	0.283492811
0.535	0.283482568
0.54	0.283236257
0.545	0.282750644
0.55	0.282022591
0.555	0.281049055
0.56	0.279827103
0.565	0.27835392
0.57	0.276626818
0.575	0.274643242
0.58	0.27240078
0.585	0.269897168
0.59	0.2671303
0.595	0.264098248
0.6	0.260799273
0.605	0.257231854
0.61	0.25339471
0.615	0.249286824
0.62	0.244907462
0.625	0.240256192
0.63	0.235332891
0.635	0.230137745
0.64	0.224671248
0.645	0.218934194
0.65	0.212927668
0.655	0.206653045
0.66	0.200111986
0.665	0.193306444
0.67	0.186238682
0.675	0.178911287
0.68	0.171327192
0.685	0.163489698
0.69	0.155402498
0.695	0.147069686
0.7	0.138495777
0.705	0.129685699
0.71	0.1206448
0.715	0.111378838
0.72	0.101893966
0.725	0.092196724
0.73	0.082294017
0.735	0.072193107
0.74	0.061901591
0.745	0.051427387
0.75	0.04077872
0.755	0.029964103
0.76	0.018992323
0.765	0.007872424
0.77	-0.003386304
0.775	-0.014774341
0.78	-0.026281941
0.785	-0.037899143
0.79	-0.049615768
0.795	-0.061421425
0.8	-0.073305507
0.805	-0.085257191
0.81	-0.097265439
0.815	-0.109319005
0.82	-0.121406439
0.825	-0.133516108
0.83	-0.145636206
0.835	-0.157754784
0.84	-0.169859773
0.845	-0.18193901
0.85	-0.193980264
0.855	-0.205971264
0.86	-0.217899721
0.865	-0.229753346
0.87	-0.241519869
0.875	-0.253187056
0.88	-0.264742717
0.885	-0.276174721
0.89	-0.287471005
0.895	-0.298619588
0.9	-0.309608581
0.905	-0.3204262
0.91	-0.331060783
0.915	-0.341500804
0.92	-0.351734888
0.925	-0.361751836
0.93	-0.371540633
0.935	-0.381090473
0.94	-0.390390778
0.945	-0.399431206
0.95	-0.408201678
0.955	-0.416692382
0.96	-0.42489379
0.965	-0.432796665
0.97	-0.440392067
0.975	-0.447671355
0.98	-0.454626187
0.985	-0.461248519
0.99	-0.467530597
0.995	-0.473464951
1	-0.479044389
1.005	-0.484261985
1.01	-0.489111074
1.015	-0.493585244
1.02	-0.49767833
1.025	-0.501384413
1.03	-0.504697818
1.035	-0.507613113
1.04	-0.510125121
1.045	-0.512228916
1.05	-0.513919838
1.055	-0.515193497
1.06	-0.516045787
