Time	DOF 1	DOF 2	DOF 3	DOF 4	DOF 5	DOF 6	DOF 7	DOF 8	DOF 9	DOF 10
1.800900450225112470e-01	1.394086164502189324e-03	1.945004784294040046e-03	2.026239256773792324e-03	1.958537524626890753e-03	1.863174888938256332e-03	1.920296187016025868e-03	2.185633359978457393e-03	2.454177817761275891e-03	2.614867668382941327e-03	2.657534083275191455e-03
1.850925462731365656e-01	1.441116761494504921e-03	2.035360476907096226e-03	2.139249617137059089e-03	2.080009610816271112e-03	1.988802450193746883e-03	2.045766749576317760e-03	2.310029284301631618e-03	2.579451165305691410e-03	2.750315680859381599e-03	2.792888110388936588e-03
1.900950475237618842e-01	1.488768746630644802e-03	2.127326627431911678e-03	2.254582496512728702e-03	2.204421741194449377e-03	2.117760160039807143e-03	2.174895350849613291e-03	2.437332492431668746e-03	2.707342332247727329e-03	2.888234844683265547e-03	2.930787464050858739e-03
1.950975487743871750e-01	1.537028392554841026e-03	2.220860161309535022e-03	2.372158736738279403e-03	2.331711710370472715e-03	2.249962501662458852e-03	2.307597699493781681e-03	2.567450947904261795e-03	2.837741838126186470e-03	3.028484447242720846e-03	3.071086350539888564e-03
2.001000500250124936e-01	1.585818562429037060e-03	2.315726454990554069e-03	2.491876566411735730e-03	2.461826366937830673e-03	2.385391264055968224e-03	2.443813672725499413e-03	2.700402814956395087e-03	2.970819707888336034e-03	3.171286536601054546e-03	3.214175656925623379e-03
2.051025512756378122e-01	1.635086789936257253e-03	2.411766381951633599e-03	2.613644655683450713e-03	2.594710573360755647e-03	2.524003782925888541e-03	2.583476044112628395e-03	2.836166928885977025e-03	3.106640817287341459e-03	3.316725286823098660e-03	3.360240519343835313e-03
2.101050525262631308e-01	1.684821666622070236e-03	2.508945981373049069e-03	2.737388248705598971e-03	2.730305118521012594e-03	2.665715844133081502e-03	2.726504630216430511e-03	2.974654934689931543e-03	3.245093282476220909e-03	3.464653839750773522e-03	3.509122182740134592e-03
2.151075537768884494e-01	1.735011705752173995e-03	2.607231711532753075e-03	2.863033694766297516e-03	2.868551813783998955e-03	2.810444493745764809e-03	2.872820832588024453e-03	3.115781047963864844e-03	3.386068024831763706e-03	3.614928090755445585e-03	3.660664721614219439e-03
2.201100550275137402e-01	1.785645342592294578e-03	2.706590432491932062e-03	2.990508428558504017e-03	3.009393454229642145e-03	2.958108009410589153e-03	3.022347596730048502e-03	3.259462006022007842e-03	3.529458718185708461e-03	3.767406671798963734e-03	3.814715028706420694e-03
2.251125562781390588e-01	1.836710934705103543e-03	2.806989389257897802e-03	3.119740951300222810e-03	3.152773781167572675e-03	3.108625872811314386e-03	3.175009372275917029e-03	3.405617020239245282e-03	3.675161738116386727e-03	3.921950935910004446e-03	3.971122805538615519e-03
2.301150575287643774e-01	1.888196762264478940e-03	2.908396195420907913e-03	3.250660812679423157e-03	3.298637445910118388e-03	3.261918743184278810e-03	3.330732074355839071e-03	3.554167729576284806e-03	3.823076113228583532e-03	4.078424942996035189e-03	4.129740554708473399e-03
2.351175587793896959e-01	1.940091028387572799e-03	3.010778817261742200e-03	3.383198593597029624e-03	3.446929974776751122e-03	3.417908431860374602e-03	3.489443046120633413e-03	3.705038155249586098e-03	3.973103478350309414e-03	4.236695446913351336e-03	4.290423573837953523e-03
2.401200600300150145e-01	1.992380917145253599e-03	3.114104088364364354e-03	3.517286971130948337e-03	3.597599201216362518e-03	3.576521297231655561e-03	3.651073835587574298e-03	3.858159819665323356e-03	4.125153135382349755e-03	4.396636164488835520e-03	4.453034188807907488e-03
2.451225612806403054e-01	2.044822031750859713e-03	3.217978039155011509e-03	3.653125300780300962e-03	3.750953897764832973e-03	3.738524852401010033e-03	3.816248464323673643e-03	4.014734972395129532e-03	4.280391247073352806e-03	4.559175140625219315e-03	4.618478595653200888e-03
