Time	DOF 1	DOF 2	DOF 3	DOF 4	DOF 5	DOF 6	DOF 7	DOF 8	DOF 9	DOF 10
2.501250625312656517e-01	1.047115425230707268e-02	2.083525544608659172e-02	2.771505832949786377e-02	3.152387711150018978e-02	3.356526439245377524e-02	3.421345909145155628e-02	3.259875947037714494e-02	3.224085635506150627e-02	3.346453351420755618e-02	3.410947964542789673e-02
2.551275637818909425e-01	1.046122914054793858e-02	2.087629786732540793e-02	2.807118835966048581e-02	3.208803805679220217e-02	3.432983268855848563e-02	3.498991942038216091e-02	3.344232394097059607e-02	3.301859417452260997e-02	3.407729946781149627e-02	3.476226799034184273e-02
2.601300650325162334e-01	1.044975109635865734e-02	2.091265816257717458e-02	2.841350054745504089e-02	3.264077506888049540e-02	3.507673098849979632e-02	3.575064894754111100e-02	3.426829838366778069e-02	3.377456825978707861e-02	3.466231822671228535e-02	3.538519840676790373e-02
2.651325662831415797e-01	1.043675739317586129e-02	2.094446978213012137e-02	2.874212228885223569e-02	3.318214209967440542e-02	3.580597185736288102e-02	3.649573397843482170e-02	3.507681941640249795e-02	3.450896458321699167e-02	3.521987968112849643e-02	3.597859395542229999e-02
2.701350675337668705e-01	1.042228481150945379e-02	2.097186276500096272e-02	2.905717924203108857e-02	3.371218870679876245e-02	3.651756626029296210e-02	3.722525663850771716e-02	3.586801930348612610e-02	3.522196539319590036e-02	3.575027522628964477e-02	3.654278101521264699e-02
2.751375687843921614e-01	1.041093865628123227e-02	2.099446242083374131e-02	2.935581354686689001e-02	3.422432749224846305e-02	3.719969535202254790e-02	3.792897732716002390e-02	3.663534910160051727e-02	3.591619826537043036e-02	3.627632870280374927e-02	3.709230897561754253e-02
2.801400700350175077e-01	1.041285776775734487e-02	2.101755068564346157e-02	2.963627247874730045e-02	3.470502134128598121e-02	3.783395193651913069e-02	3.859005356386049912e-02	3.737819385796018606e-02	3.661044049320189703e-02	3.684668721746368891e-02	3.766333011259859892e-02
2.851425712856427985e-01	1.041377665179977346e-02	2.103688244281265440e-02	2.990354269657639549e-02	3.517403798203759535e-02	3.845003704964354563e-02	3.923526557338949394e-02	3.810429296485195322e-02	3.728471486069573348e-02	3.739251927355313754e-02	3.820753304629843222e-02
2.901450725362681449e-01	1.041212630931317475e-02	2.105080557797066321e-02	3.015482378063906455e-02	3.563068438202672550e-02	3.905302787269195747e-02	3.987071263609113375e-02	3.882148442943193084e-02	3.795501932515761567e-02	3.792605527371761820e-02	3.874878757986644634e-02
2.951475737868934357e-01	1.040633528552548787e-02	2.105766261868996861e-02	3.038731085889786673e-02	3.607426351029272699e-02	3.964800677434751619e-02	4.050249782104816537e-02	3.953761168655919866e-02	3.863736739622737615e-02	3.845954141724761827e-02	3.931099428037205384e-02
3.001500750375187265e-01	1.039967559390828598e-02	2.106115941722624951e-02	3.060702628182825763e-02	3.650626436065194241e-02	4.022478317033190837e-02	4.111854279958095798e-02	4.023728949975700214e-02	3.930010398477974676e-02	3.896926881932050168e-02	3.984713810282949215e-02
3.051525762881440729e-01	1.039217921881909965e-02	2.106140979501738147e-02	3.081408789410471430e-02	3.692670937656576668e-02	4.078337940420611457e-02	4.171892298439123375e-02	4.092066120114062205e-02	3.994344773987261454e-02	3.945557665332350555e-02	4.035763388295363768e-02
3.101550775387693637e-01	1.038387745149199105e-02	2.105852434349507474e-02	3.100861275175867751e-02	3.733561847406822315e-02	4.132381786699484277e-02	4.230371138924297197e-02	4.158786752141405141e-02	4.056761582990649900e-02	3.991880682126034557e-02	4.084290102830723940e-02
3.151575787893947100e-01	1.037480086870484243e-02	2.105261045756555427e-02	3.119071722404592045e-02	3.773300924748938801e-02	4.184612119505686650e-02	4.287297884390335601e-02	4.223904682286624274e-02	4.117282424057977508e-02	4.035930409862711898e-02	4.130336368199392233e-02
3.201600800400200009e-01	1.036497931187812388e-02	2.104377236889570443e-02	3.136051709130675824e-02	3.811889717070130607e-02	4.235031246258334076e-02	4.342679420401587831e-02	4.287433532566617411e-02	4.175928806141986777e-02	4.077741626740519904e-02	4.173945087119097785e-02
3.251625812906452917e-01	1.035444186662062491e-02	2.103211117902212268e-02	3.151812763889476343e-02	3.849329579393856449e-02	4.283641536879211065e-02	4.396522455597932921e-02	4.349386732754785545e-02	4.232722176108617840e-02	4.117349423741579334e-02	4.215159664081741947e-02
3.301650825412706380e-01	1.034321684273745504e-02	2.101772489229993338e-02	3.166366374724890326e-02	3.885621693624420614e-02	4.330445441988508420e-02	4.448833541690580540e-02	4.409777541697688236e-02	4.287683945163792837e-02	4.154789215628053312e-02	4.254024017263155488e-02
3.351675837918959289e-01	1.032851722184284678e-02	2.099857871129285139e-02	3.179074317287498147e-02	3.920489203873658152e-02	4.375435510723840044e-02	4.499364558028371569e-02	4.469039942402941445e-02	4.341070681514046931e-02	4.190701632802065063e-02	4.291814729771961656e-02
3.401700850425212752e-01	1.029601286499707245e-02	2.096390082417297351e-02	3.186634025256235986e-02	3.952515527348689911e-02	4.418563398674212744e-02	4.546823426186742678e-02	4.529333779715510183e-02	4.394103380718306778e-02	4.228208249104378758e-02	4.334861886494603689e-02
3.451725862931465660e-01	1.026234609042675494e-02	2.092635369273888185e-02	3.192892502128991117e-02	3.983342007445665051e-02	4.459890939807036048e-02	4.592719066724464810e-02	4.588187161094352956e-02	4.445415113022718051e-02	4.263774400829010297e-02	4.375936686176825491e-02
3.501750875437718569e-01	1.022755990640126025e-02	2.088603687376513682e-02	3.197865309662540484e-02	4.012971093822904900e-02	4.499421143177029930e-02	4.637059221115499147e-02	4.645610171694413565e-02	4.495025886562535600e-02	4.297433019187188452e-02	4.415077316279601011e-02
3.551775887943972032e-01	1.019169709243920863e-02	2.084304747369786215e-02	3.201568156254697151e-02	4.041405215993987277e-02	4.537157184164931217e-02	4.679851624593061449e-02	4.701612727225026184e-02	4.542955736625603480e-02	4.329217260456215410e-02	4.452322236673837696e-02
3.601800900450224940e-01	1.015480016704784112e-02	2.079748016935668506e-02	3.204016900243111809e-02	4.068646798531001807e-02	4.573102419614277769e-02	4.721104021953677343e-02	4.756204593836425853e-02	4.589224747139317162e-02	4.359160513943887566e-02	4.487710190135230093e-02
3.651825912956478404e-01	1.011691135564896787e-02	2.074942722829673306e-02	3.205227552779948974e-02	4.094698275824778383e-02	4.607260402488077417e-02	4.760824182883632849e-02	4.809395407470726941e-02	4.633853071216158942e-02	4.387296409061242769e-02	4.521280211746424305e-02
3.701850925462731312e-01	1.007807255871498268e-02	2.069897852885081019e-02	3.205216280291102449e-02	4.119562106406900875e-02	4.639634896051324925e-02	4.799019916815246145e-02	4.861194692683783874e-02	4.676860950774831827e-02	4.413658821524280018e-02	4.553071637229527679e-02
3.751875937968984220e-01	1.003832532013775383e-02	2.064622157987094919e-02	3.203999406528514754e-02	4.143240786838174594e-02	4.670229887585215095e-02	4.835699087320075029e-02	4.911611880943871078e-02	4.718268735253534213e-02	4.438281878705325340e-02	4.583124110231419357e-02
3.801900950475237684e-01	9.999487322630278008e-03	2.058927335326414532e-02	3.201533046748740452e-02	4.162522966710639066e-02	4.698414759993499445e-02	4.871908944384591156e-02	4.959212139879899672e-02	4.756936215592287576e-02	4.466543583330399164e-02	4.611104307430473337e-02
3.851925962981490592e-01	9.966386599627887963e-03	2.055010894175727035e-02	3.197816085189836288e-02	4.166237495656516937e-02	4.722454715384363094e-02	4.917284642888990892e-02	5.005953795307074156e-02	4.805863898077311624e-02	4.531279287481723705e-02	4.645200455001254752e-02
3.901950975487743500e-01	9.922020311994003694e-03	2.051824398618508696e-02	3.193739979819821412e-02	4.171083911618925916e-02	4.747965201372395666e-02	4.965548695235211252e-02	5.056527043458419746e-02	4.872018248289541886e-02	4.605382316201189763e-02	4.687904171788771085e-02
3.951975987993996964e-01	9.874767110719693403e-03	2.046529859494469056e-02	3.188826160218340144e-02	4.174040087708766333e-02	4.772506643869204451e-02	5.010788483285734396e-02	5.102337598065894569e-02	4.934601293798635685e-02	4.676503256693952809e-02	4.727516860956716693e-02
4.002001000500249872e-01	9.838092991726877373e-03	2.040851840614745297e-02	3.182469145404695499e-02	4.174123304563778780e-02	4.792498703521572145e-02	5.053384218412129703e-02	5.145050759971086379e-02	4.992258604491156548e-02	4.743447663584066804e-02	4.762431037450743504e-02
4.052026013006503335e-01	9.800457135577440165e-03	2.034771849059882620e-02	3.175019245960392089e-02	4.172851231471046834e-02	4.810806248178979561e-02	5.094283835104918695e-02	5.185939516802281352e-02	5.047628246649466660e-02	4.808606964712511950e-02	4.795443454756433133e-02
4.102051025512756244e-01	9.761876137206301068e-03	2.028296448887817807e-02	3.166494532049592137e-02	4.170240916578840662e-02	4.827441220282856910e-02	5.133490851625579360e-02	5.225017184694631667e-02	5.100732851371626159e-02	4.871994711193586985e-02	4.826597302738989265e-02
4.152076038019009152e-01	9.722366185305638536e-03	2.021432042427725312e-02	3.156913230221539829e-02	4.166309625926208765e-02	4.842415840400050853e-02	5.171008980827149909e-02	5.262297260717637565e-02	5.151595533961969564e-02	4.933624701480135433e-02	4.855936206532944499e-02
4.202101050525262615e-01	9.681943048099554000e-03	2.014184872082051825e-02	3.146293721741089816e-02	4.161074846494132451e-02	4.855742613078689596e-02	5.206842142268150453e-02	5.297793433747894493e-02	5.200239902507899914e-02	4.993510988607000045e-02	4.883504223080718798e-02
4.252126063031515524e-01	9.640622059428970159e-03	2.006561022099702385e-02	3.134654540591209904e-02	4.154554288841866283e-02	4.867434332312677026e-02	5.240994473928755476e-02	5.331519594840600229e-02	5.246690065664724040e-02	5.051667886816544467e-02	4.909345836830699555e-02
4.302151075537768987e-01	9.598418105157624849e-03	1.998566420321028214e-02	3.122014371154234469e-02	4.146765889332975491e-02	4.877504086620190749e-02	5.273470343533902260e-02	5.363489847103682789e-02	5.290970639662704450e-02	5.108109977581469507e-02	4.933505954614315209e-02
4.352176088044021895e-01	9.555345609909319041e-03	1.990206839895182142e-02	3.108392045578482060e-02	4.137727811955366208e-02	4.885965263741377795e-02	5.304274359487856638e-02	5.393718515078174680e-02	5.333106754550508144e-02	5.162852115039746892e-02	4.956029899721685339e-02
4.402201100550274804e-01	9.511418524146074416e-03	1.981487900970255872e-02	3.093806540836698329e-02	4.127458449739432322e-02	4.892831554960210688e-02	5.333411381424532638e-02	5.422220153628013600e-02	5.373124059688761528e-02	5.215909430856271317e-02	4.976963405194853585e-02
4.452226113056528267e-01	9.466650311596127437e-03	1.972415072356512381e-02	3.078276975482627589e-02	4.115976425778201941e-02	4.898116959055295178e-02	5.360886530377699521e-02	5.449009556342326865e-02	5.411048728507297789e-02	5.267297338525418066e-02	4.996352606357415405e-02
4.502251125562781175e-01	9.421053937040074419e-03	1.962993673162865063e-02	3.061822606111852529e-02	4.103300593853199257e-02	4.901835785884234992e-02	5.386705198574920361e-02	5.474101763452866171e-02	5.446907462539219563e-02	5.317031537128487362e-02	5.014244032599005085e-02
4.552276138069034639e-01	9.358756476212419517e-03	1.954340090815251049e-02	3.050940916589043109e-02	4.096314561121086606e-02	4.906048750822893101e-02	5.407266542776738988e-02	5.507061933774008711e-02	5.492077977802822114e-02	5.368557413248102594e-02	5.059165979498632393e-02
4.602301150575287547e-01	9.288222414371161140e-03	1.945868075504529268e-02	3.042204457435937828e-02	4.091385054957668438e-02	4.909682077301143893e-02	5.424495539936134703e-02	5.542824173544498578e-02	5.540548489449911157e-02	5.420066475394382660e-02	5.116010894981931623e-02
4.652326163081540455e-01	9.216745316537393665e-03	1.937073103550572203e-02	3.032663191287717289e-02	4.085384790332697441e-02	4.911813058269463156e-02	5.440051748107105345e-02	5.577026461793302414e-02	5.587144018065693524e-02	5.470003193576704337e-02	5.171770014561826584e-02
4.702351175587793919e-01	9.144363505568334563e-03	1.927957989599822161e-02	3.022325684057928022e-02	4.078321672320094071e-02	4.912453738517870427e-02	5.453947971126220373e-02	5.609668381500724360e-02	5.631873776960893280e-02	5.518378506337680289e-02	5.226442098200698855e-02
4.752376188094046827e-01	9.071114918229839300e-03	1.918525394603315740e-02	3.011200549141264740e-02	4.070203761286051575e-02	4.911616464809608756e-02	5.466197365682853859e-02	5.640749693499819140e-02	5.674747397060044690e-02	5.565203612548309114e-02	5.280025946544540660e-02
4.802401200600300291e-01	8.997037072260712434e-03	1.908777828899582696e-02	2.999296451606141972e-02	4.061039281161638037e-02	4.909313890316750750e-02	5.476813443701882694e-02	5.670270355360733372e-02	5.715774943302623368e-02	5.610489977137856493e-02	5.332520429869913592e-02
4.852426213106553199e-01	8.922167033758384921e-03	1.898717655274259619e-02	2.986622112163063100e-02	4.050836627376461913e-02	4.905558978726540925e-02	5.485810074354218607e-02	5.698230539849105658e-02	5.754966930462833419e-02	5.654249336384765262e-02	5.383924516549274536e-02
4.902451225612806107e-01	8.846541384900876229e-03	1.888347091995000795e-02	2.973186310909511909e-02	4.039604374450984220e-02	4.900365008020214630e-02	5.493201485700074937e-02	5.724630652952480275e-02	5.792334338391327136e-02	5.696493702777823825e-02	5.434237301031400597e-02
4.952476238119059571e-01	8.770196192019602544e-03	1.877668215820074010e-02	2.958997890852025150e-02	4.027351283245225039e-02	4.893745573926017167e-02	5.499002265969905878e-02	5.749471351468866953e-02	5.827888626682340562e-02	5.737235369456891720e-02	5.483458031333849486e-02
5.002501250625313034e-01	8.693166974036816916e-03	1.866682964979017589e-02	2.944065761206030724e-02	4.014086307861326752e-02	4.885714593047940646e-02	5.503227364487582596e-02	5.772753560151078212e-02	5.861641748769331334e-02	5.776486914241767828e-02	5.531586136043949165e-02
5.052526263131565942e-01	8.615239287222782247e-03	1.855243638173763310e-02	2.928163937590401791e-02	3.999348479510701077e-02	4.876054975034262856e-02	5.505692112194417870e-02	5.794138408477123026e-02	5.893229089004075466e-02	5.813976067584725876e-02	5.578162408443701481e-02
5.102551275637818851e-01	8.531916441672292989e-03	1.842494073380553793e-02	2.910569467257685672e-02	3.981555140982163260e-02	4.864041103379595360e-02	5.505616355458724936e-02	5.812919852856070907e-02	5.922474135111900628e-02	5.849755081125906919e-02	5.623119932717785679e-02
5.152576288144071759e-01	8.440760214317792956e-03	1.828710272758959227e-02	2.892305144426131347e-02	3.962623654905159803e-02	4.850667447378380348e-02	5.503715563330659893e-02	5.830899473491012869e-02	5.951948281192096651e-02	5.885943973150459252e-02	5.669726169785196251e-02
