Time	DOF 1	DOF 2	DOF 3	DOF 4	DOF 5	DOF 6	DOF 7	DOF 8	DOF 9	DOF 10	DOF 11	DOF 12	DOF 13	DOF 14	DOF 15	DOF 16	DOF 17	DOF 18
7.503752410411834717e-02	2.082099439576268196e-03	1.782477833330631256e-03	3.325854660943150520e-03	1.779080950655043125e-03	2.940463135018944740e-03	3.334738314151763916e-03	1.875226851552724838e-03	2.844872651621699333e-03	2.789854770526289940e-03	2.044017892330884933e-03	2.831034362316131592e-03	2.502897754311561584e-03	2.302987966686487198e-03	2.894257893785834312e-03	2.339822705835103989e-03	3.032657084986567497e-03	2.297103870660066605e-03	2.366762375459074974e-03
8.004002273082733154e-02	2.532580634579062462e-03	2.209884114563465118e-03	3.925998229533433914e-03	2.214232459664344788e-03	3.498717444017529488e-03	3.817224409431219101e-03	2.329717390239238739e-03	3.385016694664955139e-03	3.212888492271304131e-03	2.521532587707042694e-03	3.361157374456524849e-03	2.887488342821598053e-03	2.805291675031185150e-03	3.427318297326564789e-03	2.699728822335600853e-03	3.577580908313393593e-03	2.647475339472293854e-03	2.716992050409317017e-03
8.504252135753631592e-02	3.047178965061903000e-03	2.700611948966979980e-03	4.583446774631738663e-03	2.712058369070291519e-03	4.113154951483011246e-03	4.334475845098495483e-03	2.846547169610857964e-03	3.980132285505533218e-03	3.669371595606207848e-03	3.061250317841768265e-03	3.944611642509698868e-03	3.303814446553587914e-03	3.369756741449236870e-03	4.012748599052429199e-03	3.089606296271085739e-03	4.174745175987482071e-03	3.026816062629222870e-03	3.095351858064532280e-03
9.004502743482589722e-02	3.630489343777298927e-03	3.259446937590837479e-03	5.299927666783332825e-03	3.277197713032364845e-03	4.785648081451654434e-03	4.886003211140632629e-03	3.430055687204003334e-03	4.632099531590938568e-03	4.159114323556423187e-03	3.667245386168360710e-03	4.583332687616348267e-03	3.751923795789480209e-03	4.000296816229820251e-03	4.652386996895074844e-03	3.509650705382227898e-03	4.825811833143234253e-03	3.435308812186121941e-03	3.502050181850790977e-03
9.504752606153488159e-02	4.287241492420434952e-03	3.891318570822477341e-03	6.077175028622150421e-03	3.914435394108295441e-03	5.518066231161355972e-03	5.471226293593645096e-03	4.084720741957426071e-03	5.342815537005662918e-03	4.681852180510759354e-03	4.343724343925714493e-03	5.279303062707185745e-03	4.231811966747045517e-03	4.700971767306327820e-03	5.348096136003732681e-03	3.960008732974529266e-03	5.532457027584314346e-03	3.873100038617849350e-03	3.937271889299154282e-03
1.000500321388244629e-01	5.022356286644935608e-03	4.601357039064168930e-03	6.916915532201528549e-03	4.628732800483703613e-03	6.312297191470861435e-03	6.089490838348865509e-03	4.815184511244297028e-03	6.114188116043806076e-03	5.237246863543987274e-03	5.095048341900110245e-03	6.034509744495153427e-03	4.743395373225212097e-03	5.475983954966068268e-03	6.101767066866159439e-03	4.440771415829658508e-03	6.296376697719097137e-03	4.340286832302808762e-03	4.401161335408687592e-03
1.050525307655334473e-01	5.840760655701160431e-03	5.394682753831148148e-03	7.820764556527137756e-03	5.425057839602231979e-03	7.170112803578376770e-03	6.740001495927572250e-03	5.626058205962181091e-03	6.948035210371017456e-03	5.824822001159191132e-03	5.925557576119899750e-03	6.850853562355041504e-03	5.286481697112321854e-03	6.329567637294530869e-03	6.915199104696512222e-03	4.951939918100833893e-03	7.119181100279092789e-03	4.836873617023229599e-03	4.893761128187179565e-03
1.100550293922424316e-01	6.747685372829437256e-03	6.276720203459262848e-03	8.790468797087669373e-03	6.308672484010457993e-03	8.093439042568206787e-03	7.421986665576696396e-03	6.522264331579208374e-03	7.846315391361713409e-03	6.444132886826992035e-03	6.839905399829149246e-03	7.730389479547739029e-03	5.860896315425634384e-03	7.266237866133451462e-03	7.790325675159692764e-03	5.493529140949249268e-03	8.002622984349727631e-03	5.362887401133775711e-03	5.415149964392185211e-03
1.150575354695320129e-01	7.748379837721586227e-03	7.252910174429416656e-03	9.827676229178905487e-03	7.284818682819604874e-03	9.084113873541355133e-03	8.134581148624420166e-03	7.508676964789628983e-03	8.810926228761672974e-03	7.094642147421836853e-03	7.842703722417354584e-03	8.675081655383110046e-03	6.466373801231384277e-03	8.290528319776058197e-03	8.729020133614540100e-03	6.065481808036565781e-03	8.948399685323238373e-03	5.918285809457302094e-03	5.965319927781820297e-03
1.200600340962409973e-01	8.847165852785110474e-03	8.327689021825790405e-03	1.093375124037265778e-02	8.357804268598556519e-03	1.014362461864948273e-02	8.877148851752281189e-03	8.589353412389755249e-03	9.843393228948116302e-03	7.775946985930204391e-03	8.937832899391651154e-03	9.686517529189586639e-03	7.102704141288995743e-03	9.406216442584991455e-03	9.732823818922042847e-03	6.667730864137411118e-03	9.957954287528991699e-03	6.503022275865077972e-03	6.544268224388360977e-03
1.250625401735305786e-01	1.004696730524301529e-02	9.503940120339393616e-03	1.210968755185604095e-02	9.530426003038883209e-03	1.127299293875694275e-02	9.649507701396942139e-03	9.767039678990840912e-03	1.094476319849491119e-02	8.487931452691555023e-03	1.012800540775060654e-02	1.076576393097639084e-02	7.769807707518339157e-03	1.061591412872076035e-02	1.080284826457500458e-02	7.300252560526132584e-03	1.103240437805652618e-02	7.117142435163259506e-03	7.152072619646787643e-03
1.300650388002395630e-01	1.135049480944871902e-02	1.078433170914649963e-02	1.335635688155889511e-02	1.080529764294624329e-02	1.247309986501932144e-02	1.045145001262426376e-02	1.104429922997951508e-02	1.211594510823488235e-02	9.230452589690685272e-03	1.141574885696172714e-02	1.191376149654388428e-02	8.467569015920162201e-03	1.192206796258687973e-02	1.194010302424430847e-02	7.962983101606369019e-03	1.217278372496366501e-02	7.760647218674421310e-03	7.788759656250476837e-03
1.350675374269485474e-01	1.276071835309267044e-02	1.217178720980882645e-02	1.467478647828102112e-02	1.218526344746351242e-02	1.374499779194593430e-02	1.128285471349954605e-02	1.242395117878913879e-02	1.335800439119338989e-02	1.000343076884746552e-02	1.280386373400688171e-02	1.313160173594951630e-02	9.195932187139987946e-03	1.332736853510141373e-02	1.314572989940643311e-02	8.655906654894351959e-03	1.338027697056531906e-02	8.433574810624122620e-03	8.454424329102039337e-03
1.400700360536575317e-01	1.428073924034833908e-02	1.366933435201644897e-02	1.606605760753154755e-02	1.367327012121677399e-02	1.508977357298135757e-02	1.214361935853958130e-02	1.390891615301370621e-02	1.467206049710512161e-02	1.080678682774305344e-02	1.429527159780263901e-02	1.442041061818599701e-02	9.954814799129962921e-03	1.483468338847160339e-02	1.442095823585987091e-02	9.379018098115921021e-03	1.465614698827266693e-02	9.136015549302101135e-03	9.149153716862201691e-03
1.450725346803665161e-01	1.591277495026588440e-02	1.527909282594919205e-02	1.753055490553379059e-02	1.527138985693454742e-02	1.650783605873584747e-02	1.303326152265071869e-02	1.550125610083341599e-02	1.605853997170925140e-02	1.164008677005767822e-02	1.589200086891651154e-02	1.578065939247608185e-02	1.074382942169904709e-02	1.644599437713623047e-02	1.576632447540760040e-02	1.013198122382164001e-02	1.600100286304950714e-02	9.867709130048751831e-03	9.872755035758018494e-03
1.500750482082366943e-01	1.765767298638820648e-02	1.700181700289249420e-02	1.906761527061462402e-02	1.698030531406402588e-02	1.799848303198814392e-02	1.395077258348464966e-02	1.720167882740497589e-02	1.751679554581642151e-02	1.250233221799135208e-02	1.759478077292442322e-02	1.721180416643619537e-02	1.156201958656311035e-02	1.816201582551002502e-02	1.718141511082649231e-02	1.091394852846860886e-02	1.741448603570461273e-02	1.062791515141725540e-02	1.062452327460050583e-02
