Time	DOF 1	DOF 2	DOF 3	DOF 4	DOF 5	DOF 6	DOF 7	DOF 8	DOF 9	DOF 10	DOF 11	DOF 12	DOF 13	DOF 14	DOF 15	DOF 16	DOF 17	DOF 18
1.200600340962409973e-01	4.034400463104248047e+00	4.052902221679687500e+00	2.790094137191772461e+00	3.979799032211303711e+00	2.789848327636718750e+00	1.189415693283081055e+00	3.874642848968505859e+00	2.751663208007812500e+00	1.225229978561401367e+00	3.795757770538330078e+00	2.708303213119506836e+00	1.229084253311157227e+00	3.754643201828002930e+00	2.644881963729858398e+00	1.209040641784667969e+00	2.591896533966064453e+00	1.173337101936340332e+00	1.152285218238830566e+00
1.250625401735305786e-01	4.145511150360107422e+00	4.162264823913574219e+00	2.827077388763427734e+00	4.086367130279541016e+00	2.827581882476806641e+00	1.182738780975341797e+00	3.979635238647460938e+00	2.790259599685668945e+00	1.220625400543212891e+00	3.899799823760986328e+00	2.747875452041625977e+00	1.225464701652526855e+00	3.854780673980712891e+00	2.686909437179565430e+00	1.207395315170288086e+00	2.634948492050170898e+00	1.174262881278991699e+00	1.154588818550109863e+00
1.300650388002395630e-01	4.263127326965332031e+00	4.277669429779052734e+00	2.867240428924560547e+00	4.198925495147705078e+00	2.868352651596069336e+00	1.177208542823791504e+00	4.090864658355712891e+00	2.831994771957397461e+00	1.216842412948608398e+00	4.010231494903564453e+00	2.790417432785034180e+00	1.222426295280456543e+00	3.961828231811523438e+00	2.732146024703979492e+00	1.206460475921630859e+00	2.681646347045898438e+00	1.176115036010742188e+00	1.157706141471862793e+00
1.350675374269485474e-01	4.387675762176513672e+00	4.399414062500000000e+00	2.911058425903320312e+00	4.317823410034179688e+00	2.912673950195312500e+00	1.173250555992126465e+00	4.208733081817626953e+00	2.877380132675170898e+00	1.214242935180664062e+00	4.127425193786621094e+00	2.836401462554931641e+00	1.220354199409484863e+00	4.076164245605468750e+00	2.781028509140014648e+00	1.206575989723205566e+00	2.732409477233886719e+00	1.179203867912292480e+00	1.161894440650939941e+00
1.400700360536575317e-01	4.480072498321533203e+00	4.488213062286376953e+00	2.929348468780517578e+00	4.404019355773925781e+00	2.931179046630859375e+00	1.155909061431884766e+00	4.294628143310546875e+00	2.897059917449951172e+00	1.198062658309936523e+00	4.213076114654541016e+00	2.857821702957153320e+00	1.205193161964416504e+00	4.159866809844970703e+00	2.806118488311767578e+00	1.194247722625732422e+00	2.759776592254638672e+00	1.170384049415588379e+00	1.154611587524414062e+00
1.450725346803665161e-01	4.509727001190185547e+00	4.513457775115966797e+00	2.899302721023559570e+00	4.427030563354492188e+00	2.900832891464233398e+00	1.113349318504333496e+00	4.318466663360595703e+00	2.868047714233398438e+00	1.156779766082763672e+00	4.237149715423583984e+00	2.832683801651000977e+00	1.165971755981445312e+00	4.183453083038330078e+00	2.785836219787597656e+00	1.158924579620361328e+00	2.742187500000000000e+00	1.139355897903442383e+00	1.125918745994567871e+00
1.500750482082366943e-01	4.542695045471191406e+00	4.541568279266357422e+00	2.870447397232055664e+00	4.452910900115966797e+00	2.871805906295776367e+00	1.071334958076477051e+00	4.345276355743408203e+00	2.840450048446655273e+00	1.115955948829650879e+00	4.264386653900146484e+00	2.808706760406494141e+00	1.127071857452392578e+00	4.210645198822021484e+00	2.766848802566528320e+00	1.124013543128967285e+00	2.726346015930175781e+00	1.108833074569702148e+00	1.097514390945434570e+00
1.550775468349456787e-01	4.577948093414306641e+00	4.571669101715087891e+00	2.842385530471801758e+00	4.480826377868652344e+00	2.843815088272094727e+00	1.029928803443908691e+00	4.374198436737060547e+00	2.814016342163085938e+00	1.075698137283325195e+00	4.293845176696777344e+00	2.785568237304687500e+00	1.088642239570617676e+00	4.240466594696044922e+00	2.748749256134033203e+00	1.089621067047119141e+00	2.711806774139404297e+00	1.078871250152587891e+00	1.069416999816894531e+00
1.600800454616546631e-01	4.617029666900634766e+00	4.605357646942138672e+00	2.816449880599975586e+00	4.512382507324218750e+00	2.818156719207763672e+00	9.898766875267028809e-01	4.406805038452148438e+00	2.790023565292358398e+00	1.036804437637329102e+00	4.327032566070556641e+00	2.764512777328491211e+00	1.051416873931884766e+00	4.274375915527343750e+00	2.732727289199829102e+00	1.056451201438903809e+00	2.699748277664184570e+00	1.050119996070861816e+00	1.042267084121704102e+00
1.650825440883636475e-01	4.660670757293701172e+00	4.643433094024658203e+00	2.793387651443481445e+00	4.548365592956542969e+00	2.795573472976684570e+00	9.515716433525085449e-01	4.443841934204101562e+00	2.769203186035156250e+00	9.997467994689941406e-01	4.364563465118408203e+00	2.746235609054565430e+00	1.015877366065979004e+00	4.312963485717773438e+00	2.719404220581054688e+00	1.024955868721008301e+00	2.690760612487792969e+00	1.022998213768005371e+00	1.016452431678771973e+00
