Time	DOF 1	DOF 2	DOF 3	DOF 4	DOF 5	DOF 6	DOF 7	DOF 8	DOF 9	DOF 10	DOF 11	DOF 12	DOF 13	DOF 14	DOF 15	DOF 16	DOF 17	DOF 18
6.503251940011978149e-02	6.174297630786895752e-02	5.767994746565818787e-02	9.284681826829910278e-02	5.944456532597541809e-02	8.515515178442001343e-02	7.880223542451858521e-02	6.324532628059387207e-02	8.215580880641937256e-02	6.783613562583923340e-02	6.769098341464996338e-02	8.099675923585891724e-02	6.119488552212715149e-02	7.251560688018798828e-02	8.196403831243515015e-02	5.723011121153831482e-02	8.425484597682952881e-02	5.581473931670188904e-02	5.621483549475669861e-02
7.003501802682876587e-02	7.242545485496520996e-02	6.811697781085968018e-02	1.034256368875503540e-01	6.981503218412399292e-02	9.543904662132263184e-02	8.589463680982589722e-02	7.368025183677673340e-02	9.218984097242355347e-02	7.451543956995010376e-02	7.822632789611816406e-02	9.069236367940902710e-02	6.742649525403976440e-02	8.313035964965820312e-02	9.152477979660034180e-02	6.306070089340209961e-02	9.387119114398956299e-02	6.145260110497474670e-02	6.168194115161895752e-02
7.503752410411834717e-02	8.393730968236923218e-02	7.941590994596481323e-02	1.143579035997390747e-01	8.102243393659591675e-02	1.061052381992340088e-01	9.294874221086502075e-02	8.490252494812011719e-02	1.026085168123245239e-01	8.121569454669952393e-02	8.950008451938629150e-02	1.007724553346633911e-01	7.371786981821060181e-02	9.444788843393325806e-02	1.014471277594566345e-01	6.896696984767913818e-02	1.038190945982933044e-01	6.716152280569076538e-02	6.721883267164230347e-02
8.004002273082733154e-02	9.631138294935226440e-02	9.161256253719329834e-02	1.256395429372787476e-01	9.310150146484375000e-02	1.171488985419273376e-01	9.993895143270492554e-02	9.694291651248931885e-02	1.134071648120880127e-01	8.791235089302062988e-02	1.015405282378196716e-01	1.112382262945175171e-01	8.004855364561080933e-02	1.064973995089530945e-01	1.117327511310577393e-01	7.493346184492111206e-02	1.140972599387168884e-01	7.292767614126205444e-02	7.281483709812164307e-02
8.504252135753631592e-02	1.095821857452392578e-01	1.047435477375984192e-01	1.372678130865097046e-01	1.060876622796058655e-01	1.285672783851623535e-01	1.068426445126533508e-01	1.098329648375511169e-01	1.245837360620498657e-01	9.458322077989578247e-02	1.143777519464492798e-01	1.220919713377952576e-01	8.640006184577941895e-02	1.193102523684501648e-01	1.223847195506095886e-01	8.094644546508789062e-02	1.247062906622886658e-01	7.873851060867309570e-02	7.846005260944366455e-02
9.004502743482589722e-02	1.237840279936790466e-01	1.188444793224334717e-01	1.492415070533752441e-01	1.200155541300773621e-01	1.403592675924301147e-01	1.136393472552299500e-01	1.236041784286499023e-01	1.361377686262130737e-01	1.012087538838386536e-01	1.280413717031478882e-01	1.333372443914413452e-01	9.275574237108230591e-02	1.329177916049957275e-01	1.334065347909927368e-01	8.699341118335723877e-02	1.356481313705444336e-01	8.458261936902999878e-02	8.414530754089355469e-02
9.504752606153488159e-02	1.389496028423309326e-01	1.339496225118637085e-01	1.615591198205947876e-01	1.349169611930847168e-01	1.525245755910873413e-01	1.203111112117767334e-01	1.382855176925659180e-01	1.480698883533477783e-01	1.077714413404464722e-01	1.425598263740539551e-01	1.449770629405975342e-01	9.910063445568084717e-02	1.473505049943923950e-01	1.448014676570892334e-01	9.306292235851287842e-02	1.469250768423080444e-01	9.044966846704483032e-02	8.986160159111022949e-02
1.000500321388244629e-01	1.551045924425125122e-01	1.500844210386276245e-01	1.742151677608489990e-01	1.508163660764694214e-01	1.650598943233489990e-01	1.268397271633148193e-01	1.538977175951004028e-01	1.603781133890151978e-01	1.142547279596328735e-01	1.579543054103851318e-01	1.570104062557220459e-01	1.054200604557991028e-01	1.626321077346801758e-01	1.565688699483871460e-01	9.914306551218032837e-02	1.585364043712615967e-01	9.632842242717742920e-02	9.559867531061172485e-02
1.050525307655334473e-01	1.722759157419204712e-01	1.672753244638442993e-01	1.872072815895080566e-01	1.677381545305252075e-01	1.779651492834091187e-01	1.332115232944488525e-01	1.704631447792053223e-01	1.730642020702362061e-01	1.206458732485771179e-01	1.742476820945739746e-01	1.694388389587402344e-01	1.117023974657058716e-01	1.787884235382080078e-01	1.687104254961013794e-01	1.052245050668716431e-01	1.704845577478408813e-01	1.022102683782577515e-01	1.013480052351951599e-01
1.100550293922424316e-01	1.904893219470977783e-01	1.855470091104507446e-01	2.005347907543182373e-01	1.857056617736816406e-01	1.912418305873870850e-01	1.394165605306625366e-01	1.880027353763580322e-01	1.861315071582794189e-01	1.269356757402420044e-01	1.914620697498321533e-01	1.822646111249923706e-01	1.179385557770729065e-01	1.958444565534591675e-01	1.812283694744110107e-01	1.112999841570854187e-01	1.827730834484100342e-01	1.080882772803306580e-01	1.071020886301994324e-01
1.150575354695320129e-01	2.097404450178146362e-01	2.048917114734649658e-01	2.141889184713363647e-01	2.047111392021179199e-01	2.048820853233337402e-01	1.454543918371200562e-01	2.065093815326690674e-01	1.995733529329299927e-01	1.331219226121902466e-01	2.095945477485656738e-01	1.954789161682128906e-01	1.241235807538032532e-01	2.138001918792724609e-01	1.941154152154922485e-01	1.173639371991157532e-01	1.953985691070556641e-01	1.139574050903320312e-01	1.128549128770828247e-01
1.200600340962409973e-01	2.296524792909622192e-01	2.249002009630203247e-01	2.280567735433578491e-01	2.243609726428985596e-01	2.187472730875015259e-01	1.514223068952560425e-01	2.256370931863784790e-01	2.132458537817001343e-01	1.392632871866226196e-01	2.283305078744888306e-01	2.089313417673110962e-01	1.302813142538070679e-01	2.323402017354965210e-01	2.072446346282958984e-01	1.234169676899909973e-01	2.082609981298446655e-01	1.198254898190498352e-01	1.186140999197959900e-01
1.250625401735305786e-01	2.501102685928344727e-01	2.454459965229034424e-01	2.421057373285293579e-01	2.445341944694519043e-01	2.327968776226043701e-01	1.573552936315536499e-01	2.452802360057830811e-01	2.271065264940261841e-01	1.453807353973388672e-01	2.475765049457550049e-01	2.225777059793472290e-01	1.364206373691558838e-01	2.513708174228668213e-01	2.205797731876373291e-01	1.294608712196350098e-01	2.213334143161773682e-01	1.256971657276153564e-01	1.243839487433433533e-01
1.300650388002395630e-01	2.711394429206848145e-01	2.665538787841796875e-01	2.563470304012298584e-01	2.652552425861358643e-01	2.470424324274063110e-01	1.632575690746307373e-01	2.654638290405273438e-01	2.411676645278930664e-01	1.514770835638046265e-01	2.673588097095489502e-01	2.364290505647659302e-01	1.425430923700332642e-01	2.709189355373382568e-01	2.341326922178268433e-01	1.354981660842895508e-01	2.346298694610595703e-01	1.315756291151046753e-01	1.301672011613845825e-01
1.350675374269485474e-01	2.927743494510650635e-01	2.882549166679382324e-01	2.707985639572143555e-01	2.865552604198455811e-01	2.615007162094116211e-01	1.691358834505081177e-01	2.862206101417541504e-01	2.554467022418975830e-01	1.575572788715362549e-01	2.877102792263031006e-01	2.505016326904296875e-01	1.486525982618331909e-01	2.910210490226745605e-01	2.479209601879119873e-01	1.415333002805709839e-01	2.481700927019119263e-01	1.374663114547729492e-01	1.359685957431793213e-01
