t	Acceleration
1.335	0.015497
1.34	0.0153147
1.345	0.0144023
1.35	0.0116749
1.355	0.00757064
1.36	0.00273177
1.365	-0.00535828
1.37	-0.015341
1.375	-0.0245391
1.38	-0.0302735
1.385	-0.0248191
1.39	-0.01114
1.395	0.00424323
1.4	0.0165727
1.405	0.016852
1.41	0.011476
1.415	0.00631343
1.42	0.0033498
1.425	0.00292229
1.43	0.00398378
1.435	0.00680059
1.44	0.0107353
1.445	0.014233
1.45	0.0133816
1.455	0.00957162
1.46	0.00399999
1.465	-0.00177509
1.47	-0.00240812
1.475	0.000352577
1.48	0.00332022
1.485	0.00332623
1.49	-0.00377334
1.495	-0.00909599
1.5	-0.00925141
1.505	-0.00247209
1.51	0.00845214
1.515	0.0121545
1.52	0.00921339
1.525	0.00157236
1.53	-0.00283812
1.535	0.00114929
1.54	0.00707627
1.545	0.0116555
1.55	0.0100848
1.555	0.00490497
1.56	0.0011915
1.565	5.32405E-05
1.57	0.00224998
1.575	0.00603537
1.58	0.0095687
1.585	0.0124833
1.59	0.0144855
1.595	0.015228
1.6	0.0144798
1.605	0.0111909
1.61	0.00456547
1.615	-0.00598884
1.62	-0.0140255
1.625	-0.0175278
1.63	-0.0156593
1.635	-0.00921148
1.64	-0.00234681
1.645	0.00297151
1.65	0.00612427
1.655	0.00698411
1.66	0.00875664
1.665	0.00956347
1.67	0.00831776
1.675	0.00341142
1.68	0.000137027
1.685	0.000762244
1.69	0.00456626
1.695	0.010275
1.7	0.0144191
1.705	0.01531
1.71	0.0121509
1.715	0.0042862
1.72	-0.009516
1.725	-0.0221232
1.73	-0.0284692
1.735	-0.0250856
1.74	-0.00773568
1.745	0.0108857
1.75	0.0221799
1.755	0.0222496
1.76	0.0079054
1.765	-0.00426954
1.77	-0.00764427
1.775	-0.00221339
1.78	0.00841167
1.785	0.011992
1.79	0.00924906
1.795	0.0024881
1.8	-0.00469823
1.805	-0.0053103
1.81	-0.0007961
1.815	0.00673703
1.82	0.0148933
1.825	0.0164651
1.83	0.0132309
1.835	0.00721895
1.84	-0.000126329
1.845	-0.00873084
1.85	-0.0156223
1.855	-0.0163351
1.86	-0.00873765
1.865	0.00793944
1.87	0.018131
1.875	0.0183792
1.88	0.00895114
1.885	-0.00644043
1.89	-0.0177139
1.895	-0.0202898
1.9	-0.0126335
1.905	0.00687617
1.91	0.0281566
1.915	0.0395476
1.92	0.0379409
1.925	0.0208499
1.93	-0.00772267
1.935	-0.0280987
1.94	-0.0349916
1.945	-0.0244946
1.95	0.00113461
1.955	0.0245931
1.96	0.0394272
1.965	0.040981
1.97	0.0210597
1.975	-0.00377959
1.98	-0.0214045
1.985	-0.026732
1.99	-0.0158504
1.995	8.14983E-05
2	0.0126774
2.005	0.0189193
2.01	0.0155969
2.015	0.00319139
2.02	-0.0108384
2.025	-0.0223631
2.03	-0.0263989
2.035	-0.0140571
2.04	0.00541731
2.045	0.0254997
2.05	0.0395278
2.055	0.0329761
2.06	0.017102
2.065	-3.89439E-05
2.07	-0.0126505
2.075	-0.0152057
2.08	-0.0155409
2.085	-0.0146569
2.09	-0.0120143
2.095	-0.00312167
2.1	0.00827324
2.105	0.0134652
2.11	0.00933325
2.115	-0.00689245
2.12	-0.020326
2.125	-0.02291
2.13	-0.0140131
2.135	0.00548943
2.14	0.0217443
2.145	0.0255356
2.15	0.0182589
2.155	0.0025762
2.16	-0.00245313
2.165	0.00622657
2.17	0.0221422
2.175	0.0385168
2.18	0.0338999
2.185	0.0131776
2.19	-0.0101915
2.195	-0.0284987
2.2	-0.0352167
2.205	-0.0369353
2.21	-0.029353
2.215	-0.011699
2.22	0.0141051
2.225	0.0203355
2.23	0.0108068
2.235	-0.00732113
2.24	-0.0200922
2.245	-0.0187433
2.25	-0.0107609
2.255	0.00410821
2.26	0.0269772
2.265	0.0487237
2.27	0.0527288
2.275	0.0403942
2.28	0.0147268
2.285	-0.00101533
2.29	-0.00201447
2.295	0.00209353
2.3	0.00413944
2.305	-0.0072638
2.31	-0.0204415
2.315	-0.0272641
2.32	-0.0246272
2.325	-0.0123457
2.33	-0.00200962
2.335	0.00422521
2.34	0.00675841
2.345	0.00790229
2.35	0.0131364
2.355	0.0205605
2.36	0.0272274
2.365	0.0286487
2.37	0.0190407
2.375	0.00836539
2.38	-6.79506E-05
2.385	-0.00329968
2.39	-0.0053622
2.395	-0.00770879
2.4	-0.0066942
2.405	-0.000119059
2.41	0.0078727
2.415	0.0043858
2.42	-0.00658433
2.425	-0.020567
2.43	-0.0229879
2.435	-0.0114473
2.44	0.00110379
2.445	0.00860089
2.45	0.00327229
2.455	-0.00337745
2.46	-0.00304371
2.465	0.00492798
2.47	0.0191934
2.475	0.0315142
2.48	0.0394487
2.485	0.0424531
2.49	0.04019
2.495	0.0307696
2.5	0.0185147
2.505	0.00563559
2.51	-0.00578368
2.515	-0.0123554
2.52	-0.0138891
2.525	-0.0100987
2.53	-0.00123191
2.535	0.00984586
2.54	0.0161119
2.545	0.0166456
2.55	0.0111124
2.555	-0.00052283
2.56	-0.0130393
2.565	-0.0215148
2.57	-0.0222809
2.575	-0.00887319
2.58	0.0233561
2.585	0.0556565
2.59	0.0768979
2.595	0.0732162
2.6	0.0424891
2.605	0.0161989
2.61	1.58822E-05
2.615	-0.00173249
2.62	0.00739115
2.625	0.0187008
2.63	0.0296
2.635	0.0375153
2.64	0.0342206
2.645	0.0253169
2.65	0.0209091
2.655	0.0258495
2.66	0.0430752
2.665	0.0490186
2.67	0.0388485
2.675	0.0156748
2.68	-0.00773194
2.685	-0.00538894
2.69	0.0139394
2.695	0.0434716
2.7	0.0730349
2.705	0.0873455
2.71	0.0898042
2.715	0.0836076
2.72	0.072569
2.725	0.0630382
2.73	0.0557541
2.735	0.0513312
2.74	0.0503759
2.745	0.0554019
2.75	0.0628945
2.755	0.0694132
2.76	0.0723435
2.765	0.0662171
2.77	0.0529264
2.775	0.0362647
2.78	0.0183225
2.785	0.0023102
