Time	DOF 1	DOF 2	DOF 3	DOF 4	DOF 5	DOF 6	DOF 7	DOF 8	DOF 9	DOF 10
0.000000000000000000e+00	5.741867880715290084e-06	-3.385948730283416808e-06	8.532112588000018150e-06	-9.503368687546753790e-07	-1.351291393802966923e-05	-1.632706698728725314e-05	-8.505216101184487343e-06	2.601970663818065077e-05	8.391653864237014204e-06	-1.356371831207070500e-05
8.134067058563232422e-03	-2.554109960328787565e-04	-1.804389903554692864e-04	-1.865584054030478001e-04	-1.435205485904589295e-04	-3.448059214861132205e-05	-6.359277758747339249e-04	-6.296811043284833431e-04	-6.222554948180913925e-04	-6.662255036644637585e-04	-7.114143227227032185e-04
1.626813411712646484e-02	-8.338020998053252697e-04	-7.471226854249835014e-04	-7.525806431658565998e-04	-7.150039891712367535e-04	-5.766064277850091457e-04	-1.155371544882655144e-03	-1.158395432867109776e-03	-1.187559566460549831e-03	-1.234953873790800571e-03	-1.259138574823737144e-03
2.440220117568969727e-02	-1.602197764441370964e-03	-1.551510649733245373e-03	-1.548965461552143097e-03	-1.538254786282777786e-03	-1.433939789421856403e-03	-1.632065162993967533e-03	-1.641747774556279182e-03	-1.705349655821919441e-03	-1.737948972731828690e-03	-1.725846668705344200e-03
3.253626823425292969e-02	-2.437256975099444389e-03	-2.443690784275531769e-03	-2.437172923237085342e-03	-2.452215878292918205e-03	-2.412883564829826355e-03	-2.134554320946335793e-03	-2.144599566236138344e-03	-2.228621626272797585e-03	-2.236804226413369179e-03	-2.193507971242070198e-03
4.067033529281616211e-02	-3.226888366043567657e-03	-3.288109786808490753e-03	-3.288264386355876923e-03	-3.317839233204722404e-03	-3.344494616612792015e-03	-2.713400172069668770e-03	-2.719003474339842796e-03	-2.802117029204964638e-03	-2.785341814160346985e-03	-2.727144164964556694e-03
4.880440235137939453e-02	-3.876229049637913704e-03	-3.973951097577810287e-03	-3.991442732512950897e-03	-4.022500012069940567e-03	-4.094335250556468964e-03	-3.381825750693678856e-03	-3.382091643288731575e-03	-3.442826448008418083e-03	-3.408137243241071701e-03	-3.354191081598401070e-03
5.693846940994262695e-02	-4.317456390708684921e-03	-4.425771534442901611e-03	-4.465455655008554459e-03	-4.487948957830667496e-03	-4.573279991745948792e-03	-4.111271817237138748e-03	-4.109381232410669327e-03	-4.132980480790138245e-03	-4.092026036232709885e-03	-4.057819023728370667e-03
6.507253646850585938e-02	-4.519021138548851013e-03	-4.612945020198822021e-03	-4.670519381761550903e-03	-4.679007455706596375e-03	-4.746350925415754318e-03	-4.841533955186605453e-03	-4.843004513531923294e-03	-4.825954325497150421e-03	-4.791570827364921570e-03	-4.785174503922462463e-03
7.320660352706909180e-02	-4.491870757192373276e-03	-4.553604871034622192e-03	-4.616138990968465805e-03	-4.609536379575729370e-03	-4.637060686945915222e-03	-5.499121267348527908e-03	-5.509512498974800110e-03	-5.460341926664113998e-03	-5.443313624709844589e-03	-5.464188288897275925e-03
