Time	DOF 1	DOF 2	DOF 3	DOF 4	DOF 5	DOF 6	DOF 7	DOF 8	DOF 9	DOF 10
0.000000000000000000e+00	-7.840130251679511275e-07	-1.582262484589591622e-06	-1.340426024398766458e-06	-1.515663711870729458e-06	-2.812501406879164279e-06	1.119347530220693443e-07	2.098391149729650351e-07	1.519880811429175083e-06	2.437958528389572166e-06	2.627672529342817143e-06
5.001537967473268509e-03	-9.828092970565194264e-07	-1.659340341575443745e-06	-1.395339381815574598e-06	-1.499600557508529164e-06	-2.623355385367176495e-06	-9.778023013495840132e-07	-8.337009944625606295e-07	6.131259624453377910e-07	1.392114768350438680e-06	1.408683715453662444e-06
1.000307593494653702e-02	-2.117062422257731669e-06	-2.442820459691574797e-06	-2.206338422183762304e-06	-2.107569571307976730e-06	-2.722660155995981768e-06	-3.927744273823918775e-06	-3.750582891370868310e-06	-2.256189191029989161e-06	-1.688510906205920037e-06	-1.895828972919844091e-06
1.500461436808109283e-02	-4.813543910131556913e-06	-4.699994860857259482e-06	-4.498876478464808315e-06	-4.177466053079115227e-06	-4.126312433072598651e-06	-8.545195669285021722e-06	-8.363177585124503821e-06	-6.927184585947543383e-06	-6.599456810363335535e-06	-6.992309408815344796e-06
2.000615186989307404e-02	-9.534378477837890387e-06	-9.006146683532278985e-06	-8.826321391097735614e-06	-8.337805411429144442e-06	-7.607954557897755876e-06	-1.468876507715322077e-05	-1.452623473596759140e-05	-1.326351139141479507e-05	-1.316726593358907849e-05	-1.365375737805152312e-05
2.500768937170505524e-02	-1.660720954532735050e-05	-1.577057264512404799e-05	-1.558975236548576504e-05	-1.501195401942823082e-05	-1.370352129015373066e-05	-2.229662641184404492e-05	-2.217761721112765372e-05	-2.119494092767126858e-05	-2.128335654560942203e-05	-2.175303961848840117e-05
3.000922873616218567e-02	-2.621224848553538322e-05	-2.522712202335242182e-05	-2.502065035514533520e-05	-2.444185702188406140e-05	-2.272948040626943111e-05	-3.139294130960479379e-05	-3.132616620860062540e-05	-3.071150786126963794e-05	-3.091884354944340885e-05	-3.126088995486497879e-05
3.501076623797416687e-02	-3.838389602606184781e-05	-3.742908666026778519e-05	-3.719098822330124676e-05	-3.668740828288719058e-05	-3.477642167126759887e-05	-4.206654921290464699e-05	-4.204895958537235856e-05	-4.185256329947151244e-05	-4.210036786389537156e-05	-4.222911229589954019e-05
4.001230373978614807e-02	-5.304392107063904405e-05	-5.229609450907446444e-05	-5.203875844017602503e-05	-5.166231130715459585e-05	-4.976303171133622527e-05	-5.446874274639412761e-05	-5.449075251817703247e-05	-5.472245538840070367e-05	-5.493340358952991664e-05	-5.479069295688532293e-05
4.501384124159812927e-02	-6.997836317168548703e-05	-6.958626181585714221e-05	-6.934741395525634289e-05	-6.912325625307857990e-05	-6.741823017364367843e-05	-6.876196130178868771e-05	-6.880476576043292880e-05	-6.943436892470344901e-05	-6.953722913749516010e-05	-6.910140655236318707e-05
5.001537874341011047e-02	-8.889594028005376458e-05	-8.896914368961006403e-05	-8.880205132300034165e-05	-8.873503975337371230e-05	-8.736210293136537075e-05	-8.512513886671513319e-05	-8.517323294654488564e-05	-8.612864621682092547e-05	-8.606963092461228371e-05	-8.535662345821037889e-05
5.501691624522209167e-02	-1.094200779334641993e-04	-1.100212175515480340e-04	-1.099911314668133855e-04	-1.100646986742503941e-04	-1.091003141482360661e-04	-1.036913236021064222e-04	-1.037318288581445813e-04	-1.049122438416816294e-04	-1.046584802679717541e-04	-1.037126203300431371e-04
6.001845747232437134e-02	-1.311058731516823173e-04	-1.322456810157746077e-04	-1.324199256487190723e-04	-1.326010678894817829e-04	-1.320593146374449134e-04	-1.245145685970783234e-04	-1.245462190127000213e-04	-1.258298725588247180e-04	-1.253737573279067874e-04	-1.242658909177407622e-04
6.501999497413635254e-02	-1.535011106170713902e-04	-1.551443565404042602e-04	-1.555832714075222611e-04	-1.558306539664044976e-04	-1.556660718051716685e-04	-1.476007018936797976e-04	-1.476328616263344884e-04	-1.488934794906526804e-04	-1.482488296460360289e-04	-1.470655261073261499e-04
7.002153247594833374e-02	-1.761549065122380853e-04	-1.782250765245407820e-04	-1.789676316548138857e-04	-1.792344410205259919e-04	-1.793547708075493574e-04	-1.728516217553988099e-04	-1.729022187646478415e-04	-1.740218722261488438e-04	-1.732278033159673214e-04	-1.720547006698325276e-04
7.502306997776031494e-02	-1.986584247788414359e-04	-2.010521420743316412e-04	-2.021066902671009302e-04	-2.023457345785573125e-04	-2.026210859185084701e-04	-2.000913809752091765e-04	-2.001897810259833932e-04	-2.010763419093564153e-04	-2.001883840421214700e-04	-1.991086755879223347e-04
8.002460747957229614e-02	-2.206619828939437866e-04	-2.232612314401194453e-04	-2.246047224616631866e-04	-2.247754018753767014e-04	-2.250653196824714541e-04	-2.290647098561748862e-04	-2.292462886543944478e-04	-2.298367326147854328e-04	-2.289253607159480453e-04	-2.280057815369218588e-04
8.502614498138427734e-02	-2.419169322820380330e-04	-2.445981081109493971e-04	-2.461729745846241713e-04	-2.462404081597924232e-04	-2.463985874783247709e-04	-2.594577963463962078e-04	-2.597609127406030893e-04	-2.600328298285603523e-04	-2.591732772998511791e-04	-2.584604080766439438e-04
9.002768248319625854e-02	-2.622729516588151455e-04	-2.649249508976936340e-04	-2.666455402504652739e-04	-2.665846259333193302e-04	-2.664916391950100660e-04	-2.909140312112867832e-04	-2.913755306508392096e-04	-2.913446223828941584e-04	-2.906096051447093487e-04	-2.901238331105560064e-04
9.502921998500823975e-02	-2.817066269926726818e-04	-2.842358953785151243e-04	-2.859935921151190996e-04	-2.857912331819534302e-04	-2.853586629498749971e-04	-3.230593865737318993e-04	-3.237094206269830465e-04	-3.234297037124633789e-04	-3.228867135476320982e-04	-3.226180851925164461e-04
1.000307574868202209e-01	-3.002931771334260702e-04	-3.026344347745180130e-04	-3.043141041416674852e-04	-3.039703879039734602e-04	-3.031523374374955893e-04	-3.555130388122051954e-04	-3.563722711987793446e-04	-3.559284377843141556e-04	-3.556257579475641251e-04	-3.555371949914842844e-04
1.050322949886322021e-01	-3.182040527462959290e-04	-3.203244123142212629e-04	-3.218144120182842016e-04	-3.213426971342414618e-04	-3.201391082257032394e-04	-3.879041760228574276e-04	-3.889780782628804445e-04	-3.884677716996520758e-04	-3.884360485244542360e-04	-3.884660254698246717e-04
1.100338324904441833e-01	-3.356861125212162733e-04	-3.375838859938085079e-04	-3.387925098650157452e-04	-3.382252471055835485e-04	-3.366814635228365660e-04	-4.198834067210555077e-04	-4.211662453599274158e-04	-4.206967714708298445e-04	-4.209397593513131142e-04	-4.210103361401706934e-04
1.150353699922561646e-01	-3.529902314767241478e-04	-3.546969383023679256e-04	-3.555655421223491430e-04	-3.549441753420978785e-04	-3.531463735271245241e-04	-4.511016013566404581e-04	-4.525724507402628660e-04	-4.522471863310784101e-04	-4.527344426605850458e-04	-4.527554556261748075e-04
